Date,Revenue,COGS,Operating_Expenses,Interest_Expense,Taxes,Gross_Profit,Operating_Income,Net_Income,EBITDA
2027-05-12,735721,206542,37870,10510,16130,529179,491309,464669,539689
2027-05-13,720110,53591,86583,4587,7625,666519,579936,567724,671106
2027-05-14,39454,43072,78975,7886,18116,-3618,-82593,-108595,4268
2027-05-15,150726,70444,122253,8854,17053,80282,-41971,-67878,89136
2027-05-16,210709,343877,59133,10182,19676,-133168,-192301,-222159,-122986
2027-05-17,544153,259267,33110,8156,4418,284886,251776,239202,293042
2027-05-18,650096,330988,71852,5322,25668,319108,247256,216266,324430
2027-05-19,394304,391508,20063,4439,1830,2796,-17267,-23536,7235
2027-05-20,711064,314569,36473,19013,26182,396495,360022,314827,415508
2027-05-21,251113,381353,157288,6330,19591,-130240,-287528,-313449,-123910
2027-05-22,404557,169462,18641,14817,8355,235095,216454,193282,249912
2027-05-23,596144,367418,130702,585,6509,228726,98024,90930,229311
2027-05-24,94912,389763,163246,10147,5752,-294851,-458097,-473996,-284704
2027-05-25,634345,219644,111051,17919,28647,414701,303650,257084,432620
2027-05-26,538523,300905,38193,4767,19195,237618,199425,175463,242385
2027-05-27,687739,116293,106613,8970,1500,571446,464833,454363,580416
2027-05-28,248195,314005,21829,12072,18650,-65810,-87639,-118361,-53738
2027-05-29,661066,117486,75062,15176,20178,543580,468518,433164,558756
2027-05-30,458320,64065,167347,3555,2747,394255,226908,220606,397810
2027-05-31,541776,168544,33974,7470,20388,373232,339258,311400,380702
2027-06-01,526320,50330,35537,7346,9563,475990,440453,423544,483336
2027-06-02,381652,13852,34452,3273,17440,367800,333348,312635,371073
2027-06-03,627553,36036,157040,13253,5040,591517,434477,416184,604770
2027-06-04,757471,152423,95071,12696,21120,605048,509977,476161,617744
2027-06-05,760868,24606,198001,14153,13076,736262,538261,511032,750415
2027-06-06,420803,172828,84739,9517,27065,247975,163236,126654,257492
2027-06-07,313406,171417,114563,1875,17007,141989,27426,8544,143864
2027-06-08,265087,130852,12834,18215,19565,134235,121401,83621,152450
2027-06-09,216622,174865,176621,2637,29317,41757,-134864,-166818,44394
2027-06-10,321747,173072,64743,12773,26320,148675,83932,44839,161448
2027-06-11,161779,94886,18281,14784,2005,66893,48612,31823,81677
2027-06-12,574778,32217,125324,904,14637,542561,417237,401696,543465
2027-06-13,658401,21621,57450,9644,8330,636780,579330,561356,646424
2027-06-14,86146,75421,15058,9605,19935,10725,-4333,-33873,20330
2027-06-15,73318,333440,163602,6741,22646,-260122,-423724,-453111,-253381
2027-06-16,230953,212383,140330,10336,27678,18570,-121760,-159774,28906
2027-06-17,594215,49220,158550,5429,25700,544995,386445,355316,550424
2027-06-18,51059,235350,121020,12625,21910,-184291,-305311,-339846,-171666
2027-06-19,768494,240140,52319,11549,25666,528354,476035,438820,539903
2027-06-20,343586,293325,112240,13537,3760,50261,-61979,-79276,63798
2027-06-21,136445,208442,49286,5250,29124,-71997,-121283,-155657,-66747
2027-06-22,765538,347231,134662,4308,25551,418307,283645,253786,422615
2027-06-23,799456,223296,168192,2975,12696,576160,407968,392297,579135
2027-06-24,346677,161630,177130,2391,14287,185047,7917,-8761,187438
2027-06-25,214496,239141,69558,9332,12514,-24645,-94203,-116049,-15313
2027-06-26,357686,169939,29187,18163,736,187747,158560,139661,205910
2027-06-27,557188,307995,79988,13496,17193,249193,169205,138516,262689
2027-06-28,567629,90293,161437,16154,10969,477336,315899,288776,493490
2027-06-29,742035,71531,112242,12451,15213,670504,558262,530598,682955
2027-06-30,119822,225085,15880,10317,12996,-105263,-121143,-144456,-94946
2027-07-01,93698,68665,30212,14308,26428,25033,-5179,-45915,39341
2027-07-02,453077,285685,140990,13320,15471,167392,26402,-2389,180712
2027-07-03,694550,317371,68122,12766,26347,377179,309057,269944,389945
2027-07-04,793451,24306,70931,12010,7322,769145,698214,678882,781155
2027-07-05,65857,390982,56810,5258,23423,-325125,-381935,-410616,-319867
2027-07-06,402581,367187,56055,15998,17680,35394,-20661,-54339,51392
2027-07-07,99565,107067,56952,16157,25459,-7502,-64454,-106070,8655
2027-07-08,314292,329932,193867,15091,10173,-15640,-209507,-234771,-549
2027-07-09,176819,12682,99061,13243,14509,164137,65076,37324,177380
2027-07-10,444885,100734,176016,16397,20041,344151,168135,131697,360548
2027-07-11,427385,360611,7396,15395,1815,66774,59378,42168,82169
2027-07-12,337960,38719,35521,4932,12108,299241,263720,246680,304173
2027-07-13,73545,314017,28855,1541,23797,-240472,-269327,-294665,-238931
2027-07-14,533570,94332,125958,10931,1789,439238,313280,300560,450169
2027-07-15,374081,321498,57283,7965,5869,52583,-4700,-18534,60548
2027-07-16,276310,343077,175632,4071,29288,-66767,-242399,-275758,-62696
2027-07-17,74368,140221,84884,15120,21052,-65853,-150737,-186909,-50733
2027-07-18,639800,272515,134821,5262,15854,367285,232464,211348,372547
2027-07-19,586209,213105,123701,14437,2351,373104,249403,232615,387541
2027-07-20,529992,204094,17409,6766,2956,325898,308489,298767,332664
2027-07-21,560371,120506,120383,579,18919,439865,319482,299984,440444
2027-07-22,450053,396353,17466,12029,3519,53700,36234,20686,65729
2027-07-23,24846,304201,37326,13791,24302,-279355,-316681,-354774,-265564
2027-07-24,606385,251012,84215,5393,17119,355373,271158,248646,360766
2027-07-25,255563,151614,148834,7377,3937,103949,-44885,-56199,111326
2027-07-26,704556,357507,134488,5757,18976,347049,212561,187828,352806
2027-07-27,731068,364465,68934,5699,9583,366603,297669,282387,372302
2027-07-28,603863,95356,175194,13312,18446,508507,333313,301555,521819
2027-07-29,682670,84988,117125,17341,4357,597682,480557,458859,615023
2027-07-30,702927,305950,123372,7307,2420,396977,273605,263878,404284
2027-07-31,703970,322087,29996,15567,14863,381883,351887,321457,397450
2027-08-01,272830,195166,37542,3314,12688,77664,40122,24120,80978
2027-08-02,381071,289970,141945,12253,16176,91101,-50844,-79273,103354
2027-08-03,140886,262693,76277,7739,10474,-121807,-198084,-216297,-114068
2027-08-04,374025,163711,71550,15836,23259,210314,138764,99669,226150
2027-08-05,450073,238200,38350,12142,1895,211873,173523,159486,224015
2027-08-06,316766,267047,36108,6497,21169,49719,13611,-14055,56216
2027-08-07,503195,167521,185365,14195,9452,335674,150309,126662,349869
2027-08-08,254808,215352,38908,3848,14387,39456,548,-17687,43304
2027-08-09,322718,338493,12158,8459,13224,-15775,-27933,-49616,-7316
2027-08-10,68283,211728,8545,2523,5999,-143445,-151990,-160512,-140922
2027-08-11,707660,175432,93584,12461,8886,532228,438644,417297,544689
2027-08-12,658115,99657,110005,13286,9612,558458,448453,425555,571744
2027-08-13,730609,379229,161215,17461,29007,351380,190165,143697,368841
2027-08-14,230775,94112,105770,1119,16348,136663,30893,13426,137782
2027-08-15,658982,158544,137361,9751,28300,500438,363077,325026,510189
2027-08-16,761650,283125,181497,6701,15612,478525,297028,274715,485226
2027-08-17,174693,144424,130485,6172,25142,30269,-100216,-131530,36441
2027-08-18,294216,230470,5499,18334,15523,63746,58247,24390,82080
2027-08-19,236648,44585,129018,15425,15437,192063,63045,32183,207488
2027-08-20,97067,160173,151572,17430,12281,-63106,-214678,-244389,-45676
2027-08-21,144525,387824,147499,14693,19338,-243299,-390798,-424829,-228606
2027-08-22,529311,397244,121496,19281,2953,132067,10571,-11663,151348
2027-08-23,67993,345248,15216,8878,28748,-277255,-292471,-330097,-268377
2027-08-24,372987,55151,89362,17236,13837,317836,228474,197401,335072
2027-08-25,253244,327955,44583,1942,14249,-74711,-119294,-135485,-72769
2027-08-26,246051,383028,122732,12016,2230,-136977,-259709,-273955,-124961
2027-08-27,700548,266416,11520,16209,17904,434132,422612,388499,450341
2027-08-28,278083,274598,9543,774,5028,3485,-6058,-11860,4259
2027-08-29,447820,374551,89286,1714,17366,73269,-16017,-35097,74983
2027-08-30,331459,188015,112260,3740,26341,143444,31184,1103,147184
2027-08-31,138659,295765,92872,11323,15080,-157106,-249978,-276381,-145783
2027-09-01,133990,333377,158883,2101,20157,-199387,-358270,-380528,-197286
2027-09-02,50287,144720,196940,19704,11706,-94433,-291373,-322783,-74729
2027-09-03,695892,79357,194310,19784,19195,616535,422225,383246,636319
2027-09-04,661035,167999,31769,17810,26610,493036,461267,416847,510846
2027-09-05,59157,261942,54407,10746,29836,-202785,-257192,-297774,-192039
2027-09-06,615681,217401,100191,18945,10787,398280,298089,268357,417225
2027-09-07,435189,334863,151526,15906,29715,100326,-51200,-96821,116232
2027-09-08,659813,52984,168415,8800,18811,606829,438414,410803,615629
2027-09-09,120448,325379,160829,6698,14800,-204931,-365760,-387258,-198233
2027-09-10,312168,195040,172288,7695,22723,117128,-55160,-85578,124823
2027-09-11,165429,307286,46654,9586,22485,-141857,-188511,-220582,-132271
2027-09-12,577104,249984,53622,925,22779,327120,273498,249794,328045
2027-09-13,528859,296186,91634,12751,11836,232673,141039,116452,245424
2027-09-14,773989,173177,119363,8802,2216,600812,481449,470431,609614
2027-09-15,210578,220292,34997,19471,27119,-9714,-44711,-91301,9757
2027-09-16,389383,352624,37436,18449,13632,36759,-677,-32758,55208
2027-09-17,349319,348097,148230,11880,15356,1222,-147008,-174244,13102
2027-09-18,275704,345322,74385,18476,8218,-69618,-144003,-170697,-51142
2027-09-19,151423,93805,177629,12264,2370,57618,-120011,-134645,69882
2027-09-20,677679,295454,173265,5400,6071,382225,208960,197489,387625
2027-09-21,649875,370399,151279,17971,13108,279476,128197,97118,297447
2027-09-22,152267,336732,59380,15127,8301,-184465,-243845,-267273,-169338
2027-09-23,514833,318570,152588,10046,17706,196263,43675,15923,206309
2027-09-24,49185,92189,16880,18650,20068,-43004,-59884,-98602,-24354
2027-09-25,405856,306332,149517,1112,10083,99524,-49993,-61188,100636
2027-09-26,105783,203678,146707,4877,14598,-97895,-244602,-264077,-93018
2027-09-27,514263,382892,31794,4773,8533,131371,99577,86271,136144
2027-09-28,636088,233546,9431,6591,29796,402542,393111,356724,409133
2027-09-29,88702,187729,115666,10795,16540,-99027,-214693,-242028,-88232
2027-09-30,207352,242657,130278,2204,21080,-35305,-165583,-188867,-33101
2027-10-01,699424,244579,118190,18028,25279,454845,336655,293348,472873
2027-10-02,760508,99624,25955,11172,3974,660884,634929,619783,672056
2027-10-03,637993,300143,188926,7923,28148,337850,148924,112853,345773
2027-10-04,120929,113945,83492,19548,25205,6984,-76508,-121261,26532
2027-10-05,453711,210276,47797,2563,21764,243435,195638,171311,245998
2027-10-06,280673,38868,14462,3894,28320,241805,227343,195129,245699
2027-10-07,605421,360262,140732,841,26798,245159,104427,76788,246000
2027-10-08,450672,292939,196971,4975,2397,157733,-39238,-46610,162708
2027-10-09,674711,191744,33569,11633,13365,482967,449398,424400,494600
2027-10-10,402216,167136,150252,7959,18540,235080,84828,58329,243039
2027-10-11,560224,127545,148415,10749,22306,432679,284264,251209,443428
2027-10-12,61236,236297,168503,9184,2010,-175061,-343564,-354758,-165877
2027-10-13,299300,122669,22950,14968,1246,176631,153681,137467,191599
2027-10-14,532520,392986,175213,16853,2278,139534,-35679,-54810,156387
2027-10-15,370436,335585,46154,12655,28562,34851,-11303,-52520,47506
2027-10-16,456450,315228,41445,11484,23425,141222,99777,64868,152706
2027-10-17,511507,90844,138487,7307,27489,420663,282176,247380,427970
2027-10-18,699994,211135,48473,17656,18817,488859,440386,403913,506515
2027-10-19,269017,189560,83513,1293,22765,79457,-4056,-28114,80750
2027-10-20,187352,45306,115815,610,4467,142046,26231,21154,142656
2027-10-21,360455,239520,192293,890,29446,120935,-71358,-101694,121825
2027-10-22,277524,95454,126171,5752,27937,182070,55899,22210,187822
2027-10-23,638284,167319,58807,10762,15701,470965,412158,385695,481727
2027-10-24,117865,87368,130428,9116,18018,30497,-99931,-127065,39613
2027-10-25,95704,303823,131239,14552,5277,-208119,-339358,-359187,-193567
2027-10-26,372101,11400,75641,13265,4966,360701,285060,266829,373966
2027-10-27,438733,104846,85091,8786,19601,333887,248796,220409,342673
2027-10-28,427546,200868,172322,9051,25955,226678,54356,19350,235729
2027-10-29,248377,338616,49839,6890,12630,-90239,-140078,-159598,-83349
2027-10-30,542885,195548,151339,9140,8314,347337,195998,178544,356477
2027-10-31,664099,94594,5996,2688,3026,569505,563509,557795,572193
2027-11-01,683872,350345,152167,775,20074,333527,181360,160511,334302
2027-11-02,186629,55783,102977,7285,13491,130846,27869,7093,138131
2027-11-03,732455,149519,132792,1676,16722,582936,450144,431746,584612
2027-11-04,198470,281926,94387,18515,28319,-83456,-177843,-224677,-64941
2027-11-05,38260,14291,32913,752,9420,23969,-8944,-19116,24721
2027-11-06,98254,98062,46602,14910,6567,192,-46410,-67887,15102
2027-11-07,148827,171851,116180,16617,27053,-23024,-139204,-182874,-6407
2027-11-08,469158,95877,75108,3229,4551,373281,298173,290393,376510
2027-11-09,210221,317454,163687,11656,24105,-107233,-270920,-306681,-95577
2027-11-10,711125,267745,173674,6255,12320,443380,269706,251131,449635
2027-11-11,536162,251599,71564,11301,26190,284563,212999,175508,295864
2027-11-12,80808,104099,69402,2214,17259,-23291,-92693,-112166,-21077
2027-11-13,344365,394051,134588,3294,5300,-49686,-184274,-192868,-46392
2027-11-14,43689,123575,168040,10953,3524,-79886,-247926,-262403,-68933
2027-11-15,332390,264429,125550,3161,21406,67961,-57589,-82156,71122
2027-11-16,723722,200130,138051,9167,5450,523592,385541,370924,532759
2027-11-17,780641,40649,191576,13039,3064,739992,548416,532313,753031
2027-11-18,72469,371420,154783,5285,17036,-298951,-453734,-476055,-293666
2027-11-19,447571,232987,131062,6631,11418,214584,83522,65473,221215
2027-11-20,301378,23108,194423,16029,10129,278270,83847,57689,294299
2027-11-21,261455,276016,5062,5109,6654,-14561,-19623,-31386,-9452
2027-11-22,313749,289385,63283,16857,8342,24364,-38919,-64118,41221
2027-11-23,472595,349820,199267,12716,12660,122775,-76492,-101868,135491
2027-11-24,84851,256869,7359,5098,15065,-172018,-179377,-199540,-166920
2027-11-25,131290,370987,128134,16571,1260,-239697,-367831,-385662,-223126
2027-11-26,231952,355787,21254,12452,4023,-123835,-145089,-161564,-111383
2027-11-27,420117,249878,145353,16079,2298,170239,24886,6509,186318
2027-11-28,314978,390627,24127,15363,12717,-75649,-99776,-127856,-60286
2027-11-29,37275,308899,106042,1141,13132,-271624,-377666,-391939,-270483
2027-11-30,694165,390772,158247,14292,10417,303393,145146,120437,317685
2027-12-01,409798,194128,21960,3171,4474,215670,193710,186065,218841
2027-12-02,107175,164413,41507,16545,22431,-57238,-98745,-137721,-40693
2027-12-03,205731,30082,139236,19854,9568,175649,36413,6991,195503
2027-12-04,733260,370154,60932,723,1040,363106,302174,300411,363829
2027-12-05,101678,277815,162750,2413,10085,-176137,-338887,-351385,-173724
2027-12-06,667258,370007,127264,15473,11462,297251,169987,143052,312724
2027-12-07,657353,28236,45802,8316,24360,629117,583315,550639,637433
2027-12-08,49745,125497,35674,5686,3491,-75752,-111426,-120603,-70066
2027-12-09,223113,24293,80570,8176,21419,198820,118250,88655,206996
2027-12-10,455160,36410,191747,9849,22836,418750,227003,194318,428599
2027-12-11,744387,132395,20484,17562,13054,611992,591508,560892,629554
2027-12-12,143241,80928,39596,2536,20085,62313,22717,96,64849
2027-12-13,357711,192973,105311,610,10799,164738,59427,48018,165348
2027-12-14,568537,218625,177163,9838,19362,349912,172749,143549,359750
2027-12-15,193039,34649,100876,4122,23090,158390,57514,30302,162512
2027-12-16,472171,256854,114673,3524,10049,215317,100644,87071,218841
2027-12-17,495535,256756,127025,10187,9318,238779,111754,92249,248966
2027-12-18,487435,33615,156280,2000,18373,453820,297540,277167,455820
2027-12-19,186235,353556,10105,17800,25073,-167321,-177426,-220299,-149521
2027-12-20,382751,103878,130546,9869,28888,278873,148327,109570,288742
2027-12-21,724571,316615,133578,4252,17340,407956,274378,252786,412208
2027-12-22,24712,139300,189275,15311,19796,-114588,-303863,-338970,-99277
2027-12-23,746527,11195,24363,18265,13852,735332,710969,678852,753597
2027-12-24,669229,94334,102131,4231,24387,574895,472764,444146,579126
2027-12-25,56713,196661,161242,3820,23678,-139948,-301190,-328688,-136128
2027-12-26,274838,235743,162727,6440,15047,39095,-123632,-145119,45535
2027-12-27,594201,133709,88817,19318,715,460492,371675,351642,479810
2027-12-28,52638,383525,189907,10780,15919,-330887,-520794,-547493,-320107
2027-12-29,454382,44785,157726,13808,29512,409597,251871,208551,423405
2027-12-30,738875,225946,92166,9047,19226,512929,420763,392490,521976
2027-12-31,600552,57258,35766,2941,5459,543294,507528,499128,546235
2028-01-01,23734,154673,74511,814,2214,-130939,-205450,-208478,-130125
2028-01-02,472073,96239,95252,9933,2623,375834,280582,268026,385767
2028-01-03,547758,204272,61335,14747,10392,343486,282151,257012,358233
2028-01-04,77787,164472,190535,11342,12594,-86685,-277220,-301156,-75343
2028-01-05,568514,168749,36283,7111,3992,399765,363482,352379,406876
2028-01-06,442283,170829,106462,1303,21554,271454,164992,142135,272757
2028-01-07,665059,332160,120370,7611,23548,332899,212529,181370,340510
2028-01-08,73172,12192,55654,1608,17789,60980,5326,-14071,62588
2028-01-09,121600,239398,151735,8580,3400,-117798,-269533,-281513,-109218
